,Unnamed: 0,Discipline,Professor,Subject
83,5,Big Data Management,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
84,0,Machine Learning / Deep Learning,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
85,1,Machine Learning / Deep Learning,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
86,2,Machine Learning / Deep Learning,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
87,3,Machine Learning / Deep Learning,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
88,4,Machine Learning / Deep Learning,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
89,5,Machine Learning / Deep Learning,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
90,0,Machine Learning / Optimisation / Signal Processing,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
91,1,Machine Learning / Optimisation / Signal Processing,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
92,2,Machine Learning / Optimisation / Signal Processing,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
93,3,Machine Learning / Optimisation / Signal Processing,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
94,4,Machine Learning / Optimisation / Signal Processing,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
95,5,Machine Learning / Optimisation / Signal Processing,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
96,0,Natural Language Processing,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
97,1,Natural Language Processing,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
98,2,Natural Language Processing,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
99,3,Natural Language Processing,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
100,4,Natural Language Processing,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
101,5,Natural Language Processing,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
102,0,Quantum Technologies / Computing,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
103,1,Quantum Technologies / Computing,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
104,2,Quantum Technologies / Computing,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
105,3,Quantum Technologies / Computing,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
106,4,Quantum Technologies / Computing,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
107,5,Quantum Technologies / Computing,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
108,0,Software Engineering,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
109,1,Software Engineering,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
110,2,Software Engineering,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
111,3,Software Engineering,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
112,4,Software Engineering,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
113,5,Software Engineering,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
114,0,Science and Technology Studies,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
115,1,Science and Technology Studies,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
116,2,Science and Technology Studies,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
117,3,Science and Technology Studies,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
118,4,Science and Technology Studies,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
119,5,Science and Technology Studies,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
120,0,Theoretical Computer Science,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
121,1,Theoretical Computer Science,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
122,2,Theoretical Computer Science,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
123,3,Theoretical Computer Science,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
124,4,Theoretical Computer Science,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
125,5,Theoretical Computer Science,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
126,0,Very Large Scale Integration [VLSI],Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
127,1,Very Large Scale Integration [VLSI],G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
128,2,Very Large Scale Integration [VLSI],Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
129,3,Very Large Scale Integration [VLSI],Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
130,4,Very Large Scale Integration [VLSI],V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
131,5,Very Large Scale Integration [VLSI],Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
132,0,Virtualization,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
133,1,Virtualization,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
134,2,Virtualization,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
135,3,Virtualization,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
136,4,Virtualization,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
137,5,Virtualization,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
138,0,Wireless Communication,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
139,1,Wireless Communication,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
140,2,Wireless Communication,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
141,3,Wireless Communication,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
142,4,Wireless Communication,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
143,5,Wireless Communication,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
